role_id,role_name,role_is_admin,module_id,module_name,permission_level,permission_description
1,Accountant,0,1,module_client,1,Read
1,Accountant,0,2,module_support,1,Read
1,Accountant,0,4,module_sales,1,Read
1,Accountant,0,5,module_financial,2,Modify
1,Accountant,0,6,module_reporting,1,Read
2,Technician,0,1,module_client,2,Modify
2,Technician,0,2,module_support,2,Modify
2,Technician,0,3,module_credential,2,Modify
2,Technician,0,4,module_sales,2,Modify
3,Administrator,1,,ALL,3,Full administrative access
